season,round,race_name,circuit_id,circuit_name,country,locality,date,race_url
2000,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2000-03-12,https://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2000-03-26,https://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
2000,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2000-04-09,https://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
2000,4,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2000-04-23,https://en.wikipedia.org/wiki/2000_British_Grand_Prix
2000,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2000-05-07,https://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
2000,6,European Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2000-05-21,https://en.wikipedia.org/wiki/2000_European_Grand_Prix
2000,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2000-06-04,https://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
2000,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2000-06-18,https://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
2000,9,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2000-07-02,https://en.wikipedia.org/wiki/2000_French_Grand_Prix
2000,10,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg,2000-07-16,https://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
2000,11,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2000-07-30,https://en.wikipedia.org/wiki/2000_German_Grand_Prix
2000,12,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2000-08-13,https://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
2000,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2000-08-27,https://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
2000,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2000-09-10,https://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
2000,15,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2000-09-24,https://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
2000,16,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2000-10-08,https://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
2000,17,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2000-10-22,https://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
2001,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2001-03-04,https://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
2001,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2001-03-18,https://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
2001,3,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2001-04-01,https://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
2001,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2001-04-15,https://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
2001,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2001-04-29,https://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
2001,6,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg,2001-05-13,https://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
2001,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2001-05-27,https://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
2001,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2001-06-10,https://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
2001,9,European Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2001-06-24,https://en.wikipedia.org/wiki/2001_European_Grand_Prix
2001,10,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2001-07-01,https://en.wikipedia.org/wiki/2001_French_Grand_Prix
2001,11,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2001-07-15,https://en.wikipedia.org/wiki/2001_British_Grand_Prix
2001,12,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2001-07-29,https://en.wikipedia.org/wiki/2001_German_Grand_Prix
2001,13,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2001-08-19,https://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
2001,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2001-09-02,https://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
2001,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2001-09-16,https://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
2001,16,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2001-09-30,https://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
2001,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2001-10-14,https://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
2002,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2002-03-03,https://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
2002,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2002-03-17,https://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
2002,3,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2002-03-31,https://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
2002,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2002-04-14,https://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
2002,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2002-04-28,https://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
2002,6,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg,2002-05-12,https://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
2002,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2002-05-26,https://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
2002,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2002-06-09,https://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
2002,9,European Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2002-06-23,https://en.wikipedia.org/wiki/2002_European_Grand_Prix
2002,10,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2002-07-07,https://en.wikipedia.org/wiki/2002_British_Grand_Prix
2002,11,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2002-07-21,https://en.wikipedia.org/wiki/2002_French_Grand_Prix
2002,12,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2002-07-28,https://en.wikipedia.org/wiki/2002_German_Grand_Prix
2002,13,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2002-08-18,https://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
2002,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2002-09-01,https://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
2002,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2002-09-15,https://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
2002,16,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2002-09-29,https://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
2002,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2002-10-13,https://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
2003,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2003-03-09,https://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
2003,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2003-03-23,https://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
2003,3,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2003-04-06,https://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
2003,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2003-04-20,https://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
2003,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2003-05-04,https://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
2003,6,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg,2003-05-18,https://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
2003,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2003-06-01,https://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
2003,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2003-06-15,https://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
2003,9,European Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2003-06-29,https://en.wikipedia.org/wiki/2003_European_Grand_Prix
2003,10,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,France,Magny Cours,2003-07-06,https://en.wikipedia.org/wiki/2003_French_Grand_Prix
2003,11,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2003-07-20,https://en.wikipedia.org/wiki/2003_British_Grand_Prix
2003,12,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2003-08-03,https://en.wikipedia.org/wiki/2003_German_Grand_Prix
2003,13,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2003-08-24,https://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
2003,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2003-09-14,https://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
2003,15,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,USA,Indianapolis,2003-09-28,https://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
2003,16,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2003-10-12,https://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
2004,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2004-03-07,https://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
2004,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2004-03-21,https://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
2004,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2004-04-04,https://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
2004,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2004-04-25,https://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
